gene	group1	group2	padj.edgeR	pvalue.edgeR	logFC.edgeR	padj.DESeq2	pvalue.DESeq2	logFC.DESeq2	description	SL4
Solyc08G000196	A.28.45	A.34.45	3.34e-08	1.16e-10	2.455	4.51e-10	2.26e-13	2.46	RING/U-box superfamily protein (AHRD V3.3 *** A0A2U1LIK0_ARTAN) ITAG4.0:Solyc08g006980.3	Solyc08g006980.3
Solyc08G001243	A.28.45	A.34.45	3.1e-16	2.36e-19	6.397	4.6e-09	3.61e-12	6.569	17.9 kDa class II heat shock protein (AHRD V3.3 *** A0A2G3A1B9_CAPAN) ITAG4.0:Solyc08g062340.3	Solyc08g062340.3
Solyc08G001249	A.28.45	A.34.45	2.12e-13	3.23e-16	4.015	1.25e-13	1.79e-17	4.037	17.9 kDa class II heat shock protein (AHRD V3.3 *** A0A2G3CY92_CAPCH) ITAG4.0:Solyc08g062437.1	Solyc08g062437.1
Solyc08G001299	A.28.45	A.34.45	3.13e-14	3.4e-17	5.565	9.33e-15	6.67e-19	5.622	Heat shock transcription factor (AHRD V3.3 *-* A0A1Y1I763_KLENI) ITAG4.0:Solyc08g062960.4	Solyc08g062960.4
Solyc08G001741	A.28.45	A.34.45	3.84e-10	1.13e-12	5.55	0.000247	6.81e-07	5.797	Late embryogenesis abundant protein Lea5 (AHRD V3.3 *** A0A1J3FNN3_NOCCA) ITAG4.0:Solyc08g074720.2	Solyc08g074720.2
Solyc08G002151	A.28.45	A.34.45	2.36e-16	1.54e-19	4.091	6.63e-09	5.69e-12	4.095	mitochondrial small heat shock protein ITAG4.0:Solyc08g078700.2	Solyc08g078700.2
Solyc08G002201	A.28.45	A.34.45	1.2e-05	5.35e-08	1.679	0.0184	7.75e-05	1.681	Hsp70-Hsp90 organizing protein 1 (AHRD V3.3 *** A0A1U8GC69_CAPAN) ITAG4.0:Solyc08g079170.3	Solyc08g079170.3
Solyc08G002398	A.28.45	A.34.45	0.000305	1.76e-06	2.494	0.00369	1.34e-05	2.511	Unknown protein ITAG4.0:Solyc08g081460.2	Solyc08g081460.2
Solyc09G000013	A.28.45	A.34.45	0.00792	5.6e-05	1.505	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	0.0174	7.23e-05	5.898	heavy metal-associated isoprenylated plant protein 3-like (AHRD V3.3 *-* A0A1S4B4L4_TOBAC) ITAG4.0:Solyc09g008200.4	Solyc09g008200.4
Solyc09G000297	A.28.45	A.34.45	2.11e-11	5.04e-14	4.914	1.38e-10	2.97e-14	4.97	plant/protein (AHRD V3.3 *** AT3G10020.1) ITAG4.0:Solyc09g008970.1	Solyc09g008970.1
Solyc09G000532	A.28.45	A.34.45	0.000133	6.94e-07	3.215	0.000367	1.12e-06	3.246	Regulator of chromosome condensation (RCC1) family protein (AHRD V3.3 *** A0A1I9LSN5_ARATH) ITAG4.0:Solyc09g011160.4	Solyc09g011160.4
Solyc09G000744	A.28.45	A.34.45	2.27e-12	3.95e-15	5.952	1.32e-06	2.26e-09	6.029	Class I heat shock protein (AHRD V3.3 *** A0A2K3KSJ8_TRIPR) ITAG4.0:Solyc09g015020.1	Solyc09g015020.1
Solyc09G002196	A.28.45	A.34.45	0.0355	0.000274	1.266	NA	NA	NA	NA	NA
Solyc09G002335	A.28.45	A.34.45	7.66e-11	1.91e-13	3.545	1.07e-05	2.6e-08	3.56	Heat shock protein 70 kDa (AHRD V3.3 *** A0A2K3P5L8_TRIPR) ITAG4.0:Solyc09g075950.1	Solyc09g075950.1
Solyc09G002796	A.28.45	A.34.45	1.64e-17	5.33e-21	5.523	3.11e-10	1.34e-13	5.534	Peptidylprolyl isomerase (AHRD V3.3 *** A0A2G2W2H8_CAPBA) ITAG4.0:Solyc09g092690.3	Solyc09g092690.3
Solyc10G002281	A.28.45	A.34.45	7.15e-05	3.65e-07	1.508	1.93e-06	3.45e-09	1.51	Activator of 90 kDa heat shock protein ATPase-like protein 1 (AHRD V3.3 *** A0A1J3GDI7_NOCCA) ITAG4.0:Solyc10g078930.2	Solyc10g078930.2
Solyc10G002699	A.28.45	A.34.45	7.4e-08	2.74e-10	3.661	0.00144	4.62e-06	3.662	Bag family molecular chaperone regulator mitochondrial-like (AHRD V3.3 *** A0A2K3P7D1_TRIPR) ITAG4.0:Solyc10g084170.1	Solyc10g084170.1
Solyc10G002725	A.28.45	A.34.45	0.0258	0.000194	1.313	NA	NA	NA	NA	NA
Solyc10G002787	A.28.45	A.34.45	0.000227	1.26e-06	2.719	0.00728	2.76e-05	2.748	Heme-binding-like protein (AHRD V3.3 *** A0A2I0X8X3_9ASPA) ITAG4.0:Solyc10g085040.1	Solyc10g085040.1
Solyc11G000951	A.28.45	A.34.45	1.18e-05	5.13e-08	2.72	0.0141	5.76e-05	2.772	heat shock protein 70 ITAG4.0:Solyc11g020040.2	Solyc11g020040.2
Solyc11G000981	A.28.45	A.34.45	3.58e-08	1.29e-10	4.859	2.97e-08	2.97e-11	4.925	leer-sHSP small heat shock protein ITAG4.0:Solyc11g020330.1	Solyc11g020330.1
Solyc11G002068	A.28.45	A.34.45	2.01e-07	8.31e-10	2.68	0.00181	6.23e-06	2.68	Heat shock protein 70 (AHRD V3.3 *** S8C6K2_9LAMI) ITAG4.0:Solyc11g066100.2	Solyc11g066100.2
Solyc11G002140	A.28.45	A.34.45	0.000207	1.1e-06	1.828	0.000247	6.87e-07	1.834	Zinc finger transcription factor 68 ITAG4.0:Solyc11g066830.2	Solyc11g066830.2
Solyc11G002231	A.28.45	A.34.45	0.000629	3.83e-06	2.082	NA	NA	NA	NA	NA
Solyc11G002250	A.28.45	A.34.45	0.000263	1.49e-06	2.911	NA	NA	NA	NA	NA
Solyc11G002443	A.28.45	A.34.45	7.86e-14	1.11e-16	4.137	4.04e-07	6.07e-10	4.138	DnaJ protein like (AHRD V3.3 *** A0A2I0X6P9_9ASPA) ITAG4.0:Solyc11g071830.2	Solyc11g071830.2
NA	NA	NA	NA	NA	NA	0.0427	0.000189	0.899	WLM domain-containing protein/PUB domain-containing protein (AHRD V3.3 *** A0A1Q3B398_CEPFO) ITAG4.0:Solyc12g005980.2	Solyc12g005980.2
Solyc12G000449	A.28.45	A.34.45	1.37e-05	6.26e-08	2.307	0.000367	1.13e-06	2.324	Protein phosphatase 2C (AHRD V3.3 *** B4FDN2_MAIZE) ITAG4.0:Solyc12g010450.3	Solyc12g010450.3
Solyc12G000755	A.28.45	A.34.45	0.00063	3.9e-06	1.896	NA	NA	NA	NA	NA
PRAM_26281	A.28.75	A.34.75	0.0256	0.00033	1.305	0.0354	0.000334	1.306	NA	NA
PRAM_26312	A.28.75	A.34.75	2.9e-09	1.32e-11	3.648	6.84e-05	2.69e-07	3.648	LeHSP110/ClpB heat shock protein ITAG4.0:Solyc02g088610.4	Solyc02g088610.4
Solyc01G000207	A.28.75	A.34.75	0.00559	6.11e-05	0.997	0.00487	3.27e-05	0.995	Polynucleotidyl transferase, ribonuclease H-like superfamily protein (AHRD V3.3 *** A0A2U1M9A7_ARTAN) ITAG4.0:Solyc01g007840.3	Solyc01g007840.3
NA	NA	NA	NA	NA	NA	0.00311	1.99e-05	6.382	NA	NA
NA	NA	NA	NA	NA	NA	0.0369	0.000352	1.101	DnaJ protein ERDJ3B (AHRD V3.3 *** A0A2G2Z6I0_CAPAN) ITAG4.0:Solyc01g079610.3	Solyc01g079610.3
Solyc01G002256	A.28.75	A.34.75	0.0233	0.000287	1.632	NA	NA	NA	NA	NA
Solyc01G002277	A.28.75	A.34.75	2.64e-14	4.01e-17	4.284	2.83e-08	4.41e-11	4.283	NA	NA
Solyc01G002906	A.28.75	A.34.75	1.92e-16	1.87e-19	5.448	1.84e-10	1.78e-13	5.447	NA	NA
NA	NA	NA	NA	NA	NA	0.00116	6.36e-06	4.254	Auxin-responsive GH3 family protein (AHRD V3.3 *** A0A2U1NZC8_ARTAN) ITAG4.0:Solyc01g095580.3	Solyc01g095580.3
Solyc01G003506	A.28.75	A.34.75	6.66e-10	2.52e-12	4.67	1.31e-05	4.27e-08	4.672	22.0 kDa class IV heat shock protein (AHRD V3.3 *** A0A2G3ATG3_CAPCH) ITAG4.0:Solyc01g102960.3	Solyc01g102960.3
Solyc01G003685	A.28.75	A.34.75	3.79e-05	2.71e-07	3.109	0.0153	0.000128	3.11	Multiprotein-bridging factor 1c (AHRD V3.3 *** A0A1U8F6N4_CAPAN) ITAG4.0:Solyc01g104740.3	Solyc01g104740.3
Solyc01G003823	A.28.75	A.34.75	0.000134	1.06e-06	1.888	0.034	0.000315	1.887	Heat shock protein 70 kDa (AHRD V3.3 *** A0A2K3MZA1_TRIPR) ITAG4.0:Solyc01g106210.3	Solyc01g106210.3
Solyc01G003896	A.28.75	A.34.75	6.75e-15	9.5e-18	6.774	1.39e-08	2.06e-11	6.818	NA	NA
Solyc02G000677	A.28.75	A.34.75	2.51e-05	1.74e-07	2.276	0.00242	1.49e-05	2.293	Activated RNA polymerase II transcriptional coactivator p15 (AHRD V3.3 *** A0A2G2XC29_CAPBA) ITAG4.0:Solyc02g061790.4	Solyc02g061790.4
Solyc02G000822	A.28.75	A.34.75	8.02e-10	3.13e-12	7.453	0.000436	2.07e-06	7.819	Calcium-dependent lipid-binding (CaLB domain) family protein (AHRD V3.3 *** A0A2U1LMA8_ARTAN) ITAG4.0:Solyc02g063355.1	Solyc02g063355.1
NA	NA	NA	NA	NA	NA	0.0484	0.000477	4.624	Alpha-amylase isozyme 2A (AHRD V3.3 *** A0A2G3A5T2_CAPAN) ITAG4.0:Solyc02g066950.4	Solyc02g066950.4
NA	NA	NA	NA	NA	NA	0.000275	1.23e-06	6.911	NA	NA
Solyc02G001144	A.28.75	A.34.75	6.18e-10	2.28e-12	5.271	9.39e-06	2.85e-08	5.317	Transcription initiation factor TFIID subunit 8 (AHRD V3.3 *** A0A1J3F703_NOCCA) ITAG4.0:Solyc02g069170.3	Solyc02g069170.3
Solyc02G001171	A.28.75	A.34.75	0.0186	0.000224	1.025	NA	NA	NA	NA	NA
Solyc02G001515	A.28.75	A.34.75	3.09e-11	1e-13	4.915	1.4e-06	3.31e-09	4.944	DnaJ-like protein (AHRD V3.3 *** Q9SP09_TOBAC) ITAG4.0:Solyc02g077670.3	Solyc02g077670.3
Solyc02G001657	A.28.75	A.34.75	0.00169	1.61e-05	-2.323	NA	NA	NA	NA	NA
Solyc02G001692	A.28.75	A.34.75	3.5e-08	1.89e-10	2.173	4.23e-11	3.14e-14	2.174	phosphosulfolactate synthase ITAG4.0:Solyc02g079930.3	Solyc02g079930.3
Solyc02G001811	A.28.75	A.34.75	1.18e-28	1.28e-32	6.782	8.31e-20	6.16e-24	6.869	LeftsH6FtsH protease ITAG4.0:Solyc02g081550.3	Solyc02g081550.3
NA	NA	NA	NA	NA	NA	0.00529	3.69e-05	6.256	Pentatricopeptide repeat-containing protein (AHRD V3.3 *** A0A2G3D998_CAPCH) ITAG4.0:Solyc02g088650.1	Solyc02g088650.1
Solyc02G002615	A.28.75	A.34.75	2.61e-11	8.19e-14	2.697	4.09e-15	6.07e-19	2.698	Heat stress transcription factor B-1 (AHRD V3.3 *** A0A2G3D8M4_CAPCH) ITAG4.0:Solyc02g090820.3	Solyc02g090820.3
Solyc03G000198	A.28.75	A.34.75	0.000113	8.84e-07	3.125	0.00151	8.77e-06	3.159	Pentatricopeptide repeat (AHRD V3.3 *** A0A200PMS4_9MAGN) ITAG4.0:Solyc03g006990.1	Solyc03g006990.1
Solyc03G000200	A.28.75	A.34.75	1.85e-05	1.26e-07	2.185	0.00151	8.75e-06	2.193	Peptidase M48 (AHRD V3.3 *** A0A200PMQ6_9MAGN) ITAG4.0:Solyc03g007000.4	Solyc03g007000.4
Solyc03G000301	A.28.75	A.34.75	1.54e-11	4.67e-14	4.725	1.14e-06	2.62e-09	4.723	class 2 small heat shock protein Le-HSP17.6 ITAG4.0:Solyc03g007890.3	Solyc03g007890.3
Solyc03G000356	A.28.75	A.34.75	0.000214	1.79e-06	2.027	0.000361	1.69e-06	2.032	oxidoreductase/transition metal ion-binding protein (AHRD V3.3 *** AT5G52410.3) ITAG4.0:Solyc03g025530.3	Solyc03g025530.3
Solyc03G000878	A.28.75	A.34.75	0.0127	0.000146	-0.883	0.0182	0.000156	-0.888	Calcium uniporter protein 2, mitochondrial (AHRD V3.3 *** A0A2G3ABZ2_CAPAN) ITAG4.0:Solyc03g044960.2	Solyc03g044960.2
Solyc03G001544	A.28.75	A.34.75	1.5e-08	7.29e-11	4.922	0.00014	6.01e-07	5.087	NBS-LRR resistance protein (AHRD V3.3 *** A0A2K3NU03_TRIPR) ITAG4.0:Solyc03g078300.3	Solyc03g078300.3
NA	NA	NA	NA	NA	NA	0.0307	0.000277	5.872	Avr9/Cf-9 rapidly elicited protein 65 (AHRD V3.3 *** Q9FQZ0_TOBAC) ITAG4.0:Solyc03g082370.1	Solyc03g082370.1
Solyc03G001667	A.28.75	A.34.75	1.47e-21	5.45e-25	6.151	6.47e-14	2.88e-17	6.163	NA	NA
Solyc03G001718	A.28.75	A.34.75	4.16e-05	3.02e-07	1.588	5.56e-06	1.53e-08	1.588	Heat shock protein 70 family (AHRD V3.3 *** A0A200QNK9_9MAGN) ITAG4.0:Solyc03g082920.4	Solyc03g082920.4
NA	NA	NA	NA	NA	NA	0.0369	0.000353	4.655	phosphatidylinositol 4-kinase gamma 4-like (AHRD V3.3 *** A0A2I4FK44_9ROSI) ITAG4.0:Solyc03g083350.3	Solyc03g083350.3
Solyc03G002472	A.28.75	A.34.75	4.34e-05	3.2e-07	3.196	8.74e-06	2.53e-08	3.216	MAP kinase kinase kinase 27 ITAG4.0:Solyc03g112140.4	Solyc03g112140.4
Solyc03G002653	A.28.75	A.34.75	1.2e-13	2.47e-16	6.854	2.05e-06	5.31e-09	6.974	22.0 kDa class IV heat shock protein (AHRD V3.3 *** A0A2G3ATG3_CAPCH) ITAG4.0:Solyc03g113930.3	Solyc03g113930.3
Solyc03G002803	A.28.75	A.34.75	1.76e-12	3.81e-15	3.88	7.99e-07	1.78e-09	3.878	Solanum lycopersicum heat shock protein ITAG4.0:Solyc03g115230.3	Solyc03g115230.3
Solyc03G003038	A.28.75	A.34.75	9.35e-22	2.02e-25	5.825	1.21e-14	3.6e-18	5.829	Heat shock 70 kDa protein (AHRD V3.3 *** A0A1U8FVW2_CAPAN) ITAG4.0:Solyc03g117630.1	Solyc03g117630.1
Solyc03G003075	A.28.75	A.34.75	0.000786	7.06e-06	1.394	0.000691	3.69e-06	1.395	Forkhead-associated domain-containing protein / FHA domain-containing protein (AHRD V3.3 *** A0A2U1Q1M6_ARTAN) ITAG4.0:Solyc03g117960.4	Solyc03g117960.4
Solyc03G003086	A.28.75	A.34.75	3.96e-12	1.03e-14	6.33	7.02e-12	4.16e-15	6.434	NFU1 iron-sulfur cluster protein (AHRD V3.3 *** AT5G07330.1) ITAG4.0:Solyc03g118060.3	Solyc03g118060.3
Solyc03G003305	A.28.75	A.34.75	5.08e-07	2.92e-09	2.922	0.00183	1.08e-05	2.922	Pyridoxal 5'-phosphate synthase pdxS subunit (AHRD V3.3 *** U9T0K3_RHIID) ITAG4.0:Solyc03g120090.1	Solyc03g120090.1
Solyc03G003549	A.28.75	A.34.75	1.75e-16	1.52e-19	5.438	1.63e-10	1.45e-13	5.458	17.4 kDa class III heat shock protein (AHRD V3.3 *** A0A2G3D1F4_CAPCH) ITAG4.0:Solyc03g123540.3	Solyc03g123540.3
Solyc04G000030	A.28.75	A.34.75	0.0256	0.000329	1.184	0.0102	8.07e-05	1.182	Phosphatidylinositol 4-kinase gamma 7 (AHRD V3.3 *** A0A1U8GNT8_CAPAN) ITAG4.0:Solyc04g005270.1	Solyc04g005270.1
Solyc04G000427	A.28.75	A.34.75	4.72e-12	1.28e-14	5.059	3.52e-07	7.57e-10	5.057	ethylene-responsive heat shock protein cognate 70 ITAG4.0:Solyc04g011440.4	Solyc04g011440.4
Solyc04G000533	A.28.75	A.34.75	2.23e-08	1.14e-10	4.641	9.61e-06	2.99e-08	4.743	15.7 kDa heat shock protein, peroxisomal (AHRD V3.3 *** A0A1U8GLK8_CAPAN) ITAG4.0:Solyc04g014480.3	Solyc04g014480.3
Solyc04G001742	A.28.75	A.34.75	0.00305	3.14e-05	1.96	0.0267	0.000239	1.973	Protein kinase superfamily protein (AHRD V3.3 *** A0A2U1MTH5_ARTAN) ITAG4.0:Solyc04g054190.3	Solyc04g054190.3
Solyc04G001945	A.28.75	A.34.75	0.0414	0.000565	2.62	NA	NA	NA	NA	NA
Solyc04G002206	A.28.75	A.34.75	1.39e-18	7.54e-22	5.106	7.02e-12	3.72e-15	5.113	ripening regulated protein DDTFR8 ITAG4.0:Solyc04g072160.3	Solyc04g072160.3
NA	NA	NA	NA	NA	NA	9.84e-05	4.09e-07	7.281	NA	NA
NA	NA	NA	NA	NA	NA	0.0313	0.000286	5.813	NA	NA
Solyc05G000281	A.28.75	A.34.75	2.54e-08	1.32e-10	3.257	0.000447	2.15e-06	3.259	RING/U-box superfamily protein (AHRD V3.3 *-* Q9LJE9_ARATH) ITAG4.0:Solyc05g007895.1	Solyc05g007895.1
Solyc05G000306	A.28.75	A.34.75	4.86e-10	1.73e-12	6.212	1.1e-05	3.51e-08	6.462	DnaJ-like protein subfamily B member 6 (AHRD V3.3 *-* A0A2G3B5R9_CAPCH) ITAG4.0:Solyc05g008120.4	Solyc05g008120.4
Solyc05G000542	A.28.75	A.34.75	1.93e-10	6.69e-13	6.635	3.22e-05	1.08e-07	6.987	NA	NA
Solyc05G000796	A.28.75	A.34.75	0.000514	4.56e-06	1.836	0.00487	3.23e-05	1.844	Amine oxidase (AHRD V3.3 *** A0A2G2VMP6_CAPBA) ITAG4.0:Solyc05g013440.3	Solyc05g013440.3
Solyc05G000894	A.28.75	A.34.75	1.07e-16	8.09e-20	6.503	4.44e-10	4.61e-13	6.556	small heat shock protein 1 ITAG4.0:Solyc05g014280.4	Solyc05g014280.4
Solyc05G002030	A.28.75	A.34.75	7.41e-12	2.09e-14	5.774	4.62e-05	1.65e-07	6.021	DBH-like monooxygenase (AHRD V3.3 *** AT5G35320.1) ITAG4.0:Solyc05g046310.3	Solyc05g046310.3
Solyc05G002350	A.28.75	A.34.75	0.0175	0.000209	-1.619	NA	NA	NA	NA	NA
Solyc05G002365	A.28.75	A.34.75	1.37e-06	8.13e-09	2.124	3.5e-08	5.72e-11	2.126	Dehydration-responsive element-binding protein 2A (AHRD V3.3 *** A0A1U8GX89_CAPAN) ITAG4.0:Solyc05g052410.3	Solyc05g052410.3
NA	NA	NA	NA	NA	NA	0.00463	3.03e-05	4.685	cilia- and flagella-associated protein 298-B-like isoform X1 (AHRD V3.3 *** XP_010321365.1) ITAG4.0:Solyc05g054840.3	Solyc05g054840.3
Solyc05G002617	A.28.75	A.34.75	0.000356	3.05e-06	3.482	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	0.0354	0.000333	0.861	NA	NA
Solyc06G000196	A.28.75	A.34.75	0.00186	1.81e-05	1.913	0.0197	0.000171	1.922	SET-domain containing protein lysine methyltransferase family protein (AHRD V3.3 *-* F4K7E3_ARATH) ITAG4.0:Solyc06g008130.4	Solyc06g008130.4
NA	NA	NA	NA	NA	NA	0.00686	5.03e-05	4.109	Chaperone protein ClpB (AHRD V3.3 *-* B2IUM0_NOSP7) ITAG4.0:Solyc06g011370.4	Solyc06g011370.4
NA	NA	NA	NA	NA	NA	0.000691	3.67e-06	5.583	Dehydration-responsive element-binding protein 2d-like (AHRD V3.3 *-* A0A2K3MMA2_TRIPR) ITAG4.0:Solyc06g033850.3	Solyc06g033850.3
Solyc06G000727	A.28.75	A.34.75	5.95e-06	3.87e-08	2.843	0.00844	6.45e-05	2.839	heat shock protein 90 ITAG4.0:Solyc06g036290.3	Solyc06g036290.3
NA	NA	NA	NA	NA	NA	9.38e-06	2.78e-08	7.594	Protein kinase-like protein (AHRD V3.3 *** Q8LCP0_ARATH) ITAG4.0:Solyc06g065750.1	Solyc06g065750.1
Solyc06G001733	A.28.75	A.34.75	0.0246	0.000312	1.882	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	0.0153	0.000129	6.011	microbial collagenase (AHRD V3.3 *** AT1G18060.1) ITAG4.0:Solyc06g069030.3	Solyc06g069030.3
Solyc06G001888	A.28.75	A.34.75	0.000145	1.16e-06	3.18	0.000575	2.9e-06	3.217	hypothetical protein (AHRD V3.3 *** AT5G07950.1) ITAG4.0:Solyc06g069510.3	Solyc06g069510.3
NA	NA	NA	NA	NA	NA	0.00653	4.65e-05	3.548	NA	NA
Solyc06G002092	A.28.75	A.34.75	1.51e-09	6.21e-12	3.66	5.58e-05	2.11e-07	3.658	BAG family molecular chaperone regulator 5, mitochondrial (AHRD V3.3 *-* A0A2I0XHJ2_9ASPA) ITAG4.0:Solyc06g072430.3	Solyc06g072430.3
Solyc06G002240	A.28.75	A.34.75	0.00595	6.63e-05	2.215	0.0494	0.000491	2.237	NA	NA
Solyc06G002490	A.28.75	A.34.75	2.98e-14	4.83e-17	6.209	9.07e-08	1.75e-10	6.256	Class I heat shock protein (AHRD V3.3 *** A0A2K3M3P7_TRIPR) ITAG4.0:Solyc06g076520.1	Solyc06g076520.1
Solyc06G002493	A.28.75	A.34.75	1.47e-21	6.37e-25	6.298	1.36e-14	5.04e-18	6.317	Class I heat shock protein (AHRD V3.3 *** A0A2K3M3P7_TRIPR) ITAG4.0:Solyc06g076560.2	Solyc06g076560.2
Solyc06G002502	A.28.75	A.34.75	0.00243	2.42e-05	1.226	0.000361	1.69e-06	1.224	RNA-binding (RRM/RBD/RNP motifs) family protein (AHRD V3.3 *-* A0A1P8AVT0_ARATH) ITAG4.0:Solyc06g076670.3	Solyc06g076670.3
Solyc06G002645	A.28.75	A.34.75	8.75e-16	9.47e-19	5.431	9.23e-10	1.03e-12	5.44	Peptidylprolyl isomerase (AHRD V3.3 *** A0A2G3CCB5_CAPCH) ITAG4.0:Solyc06g083190.4	Solyc06g083190.4
NA	NA	NA	NA	NA	NA	0.00503	3.47e-05	4.572	Unknown protein ITAG4.0:Solyc06g150138.1	Solyc06g150138.1
Solyc06G002759	A.28.75	A.34.75	0.00272	2.74e-05	1.663	0.0129	0.000105	1.667	ER auxin binding 1 ITAG4.0:Solyc06g084390.3	Solyc06g084390.3
Solyc07G000128	A.28.75	A.34.75	0.0015	1.4e-05	2.032	0.00487	3.29e-05	2.04	ripening regulated protein (DDTFR5) ITAG4.0:Solyc07g006180.3	Solyc07g006180.3
Solyc07G000258	A.28.75	A.34.75	3.28e-07	1.85e-09	3.475	1.84e-06	4.65e-09	3.506	nucleolin isoform X1 (AHRD V3.3 *-* XP_004242730.1) ITAG4.0:Solyc07g007500.3	Solyc07g007500.3
Solyc07G001377	A.28.75	A.34.75	0.0123	0.00014	1.64	0.00223	1.34e-05	1.638	Harbinger transposase-derived nuclease (AHRD V3.3 *** A0A200QD47_9MAGN) ITAG4.0:Solyc07g040960.1	Solyc07g040960.1
Solyc07G001512	A.28.75	A.34.75	1.95e-07	1.07e-09	2.396	1.62e-07	3.36e-10	2.399	chaperonin 21 precursor ITAG4.0:Solyc07g042250.3	Solyc07g042250.3
Solyc07G001594	A.28.75	A.34.75	0.0207	0.000251	1.426	0.00886	6.83e-05	1.429	Rhomboid-like protein 14 (AHRD V3.3 *** A0A2K3N0Y0_TRIPR) ITAG4.0:Solyc07g042930.3	Solyc07g042930.3
Solyc07G001725	A.28.75	A.34.75	0.0162	0.000192	1.089	0.00758	5.73e-05	1.088	RNA-binding (RRM/RBD/RNP motifs) family protein (AHRD V3.3 *-* A0A2U1LP30_ARTAN) ITAG4.0:Solyc07g045240.3	Solyc07g045240.3
Solyc07G001812	A.28.75	A.34.75	5.41e-06	3.4e-08	1.905	6.5e-08	1.16e-10	1.905	ubiquitin fusion degradation protein 1 (AHRD V3.3 *** A0A2I4DSF8_9ROSI) ITAG4.0:Solyc07g048120.3	Solyc07g048120.3
Solyc07G002080	A.28.75	A.34.75	1.15e-05	7.57e-08	1.995	0.00962	7.56e-05	1.995	DnaJ like protein (AHRD V3.3 *** Q9FEW7_SOLLC) ITAG4.0:Solyc07g053615.1	Solyc07g053615.1
Solyc07G002245	A.28.75	A.34.75	6.61e-09	3.15e-11	4.629	0.000575	2.89e-06	4.788	NA	NA
Solyc07G002344	A.28.75	A.34.75	4.22e-14	7.32e-17	7.764	7.02e-05	2.81e-07	7.913	Glutathione S-transferase-like protein (AHRD V3.3 *** A0A2K3N2T5_TRIPR) ITAG4.0:Solyc07g056510.3	Solyc07g056510.3
Solyc07G002728	A.28.75	A.34.75	0.0462	0.000635	0.554	0.0233	0.000206	0.553	E3 ubiquitin-protein ligase UPL2 (AHRD V3.3 *** A0A2G3C2F6_CAPCH) ITAG4.0:Solyc07g065630.4	Solyc07g065630.4
Solyc07G002746	A.28.75	A.34.75	0.00385	4.05e-05	0.739	0.00135	7.63e-06	0.738	molecular chaperone Hsp90-2 ITAG4.0:Solyc07g065840.2	Solyc07g065840.2
Solyc08G000035	A.28.75	A.34.75	0.0222	0.000271	1.294	NA	NA	NA	NA	NA
Solyc08G000196	A.28.75	A.34.75	1.42e-09	5.69e-12	3.178	5.06e-05	1.84e-07	3.178	RING/U-box superfamily protein (AHRD V3.3 *** A0A2U1LIK0_ARTAN) ITAG4.0:Solyc08g006980.3	Solyc08g006980.3
Solyc08G001243	A.28.75	A.34.75	1.54e-09	6.52e-12	4.537	4.42e-05	1.54e-07	4.548	17.9 kDa class II heat shock protein (AHRD V3.3 *** A0A2G3A1B9_CAPAN) ITAG4.0:Solyc08g062340.3	Solyc08g062340.3
Solyc08G001249	A.28.75	A.34.75	3.5e-08	1.89e-10	5.068	0.00058	2.97e-06	5.075	17.9 kDa class II heat shock protein (AHRD V3.3 *** A0A2G3CY92_CAPCH) ITAG4.0:Solyc08g062437.1	Solyc08g062437.1
Solyc08G001299	A.28.75	A.34.75	1.78e-17	1.15e-20	5.49	6.23e-11	5.08e-14	5.513	Heat shock transcription factor (AHRD V3.3 *-* A0A1Y1I763_KLENI) ITAG4.0:Solyc08g062960.4	Solyc08g062960.4
Solyc08G001579	A.28.75	A.34.75	1.85e-05	1.25e-07	1.174	2.28e-06	6.1e-09	1.173	CHY-type/CTCHY-type/RING-type Zinc finger protein (AHRD V3.3 *** A0A2U1Q2D4_ARTAN) ITAG4.0:Solyc08g067960.3	Solyc08g067960.3
Solyc08G001741	A.28.75	A.34.75	9.53e-12	2.78e-14	5.261	4.03e-11	2.69e-14	5.325	Late embryogenesis abundant protein Lea5 (AHRD V3.3 *** A0A1J3FNN3_NOCCA) ITAG4.0:Solyc08g074720.2	Solyc08g074720.2
NA	NA	NA	NA	NA	NA	0.041	0.000395	0.738	Bax inhibitor ITAG4.0:Solyc08g077980.4	Solyc08g077980.4
Solyc08G002151	A.28.75	A.34.75	9.64e-14	1.77e-16	4.404	6.33e-08	1.08e-10	4.403	mitochondrial small heat shock protein ITAG4.0:Solyc08g078700.2	Solyc08g078700.2
Solyc08G002201	A.28.75	A.34.75	3.29e-06	2.03e-08	2.392	0.00641	4.52e-05	2.39	Hsp70-Hsp90 organizing protein 1 (AHRD V3.3 *** A0A1U8GC69_CAPAN) ITAG4.0:Solyc08g079170.3	Solyc08g079170.3
Solyc08G002207	A.28.75	A.34.75	0.00293	2.98e-05	2.453	0.0129	0.000106	2.477	TPR repeat-containing thioredoxin TDX (AHRD V3.3 *-* A0A2G2XKR1_CAPBA) ITAG4.0:Solyc08g079260.3	Solyc08g079260.3
Solyc08G002253	A.28.75	A.34.75	0.0243	0.000303	2.35	NA	NA	NA	NA	NA
